prefix,datadog_id,type,description
cockroachdb,admission.admitted.kv_stores.bulk_normal_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.kv_stores.count,count,"[OpenMetrics v2] Number of KV stores requests admitted
Shown as request"
cockroachdb,admission.admitted.kv_stores.high_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.kv_stores.locking_normal_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.kv_stores.normal_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.kv_stores.ttl_low_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.sql.leaf.start,count,"[OpenMetrics v1] Number of SQL leaf start requests admitted
Shown as request"
cockroachdb,admission.admitted.sql.leaf.start.count,count,"[OpenMetrics v2] Number of SQL leaf start requests admitted
Shown as request"
cockroachdb,admission.admitted.sql.root.start,count,"[OpenMetrics v1] Number of SQL root start requests admitted
Shown as request"
cockroachdb,admission.admitted.sql.root.start.count,count,"[OpenMetrics v2] Number of SQL root start requests admitted
Shown as request"
cockroachdb,admission.admitted.sql_kv.response,count,"[OpenMetrics v1] Number of SQL KV response requests admitted
Shown as request"
cockroachdb,admission.admitted.sql_kv.response.count,count,"[OpenMetrics v2] Number of SQL KV response requests admitted
Shown as request"
cockroachdb,admission.admitted.sql_kv_response.locking_normal_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.sql_kv_response.normal_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.sql_leaf_start.count,count,Number of requests admitted
cockroachdb,admission.admitted.sql_leaf_start.locking_normal_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.sql_leaf_start.normal_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.sql_root_start.count,count,Number of requests admitted
cockroachdb,admission.admitted.sql_root_start.locking_normal_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.sql_root_start.normal_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.sql_sql.response,count,"[OpenMetrics v1] Number of Distributed SQL response requests admitted
Shown as request"
cockroachdb,admission.admitted.sql_sql.response.count,count,"[OpenMetrics v2] Number of Distributed SQL response requests admitted
Shown as request"
cockroachdb,admission.admitted.sql_sql_response.locking_normal_pri.count,count,Number of requests admitted
cockroachdb,admission.admitted.sql_sql_response.normal_pri.count,count,Number of requests admitted
cockroachdb,admission.elastic_cpu.acquired_nanos.count,count,"Total CPU nanoseconds acquired by elastic work
Shown as nanosecond"
cockroachdb,admission.elastic_cpu.available_nanos,gauge,"Instantaneous available CPU nanoseconds per second ignoring utilization limit
Shown as nanosecond"
cockroachdb,admission.elastic_cpu.max_available_nanos.count,count,"Maximum available CPU nanoseconds per second ignoring utilization limit
Shown as nanosecond"
cockroachdb,admission.elastic_cpu.nanos_exhausted_duration,gauge,"Total duration when elastic CPU nanoseconds were exhausted, in micros"
cockroachdb,admission.elastic_cpu.over_limit_durations.bucket,count,"Measurement of how much over the prescribed limit elastic requests ran (not recorded if requests don’t run over)
Shown as nanosecond"
cockroachdb,admission.elastic_cpu.over_limit_durations.count,count,"Measurement of how much over the prescribed limit elastic requests ran (not recorded if requests don’t run over)
Shown as nanosecond"
cockroachdb,admission.elastic_cpu.over_limit_durations.sum,count,"Measurement of how much over the prescribed limit elastic requests ran (not recorded if requests don’t run over)
Shown as nanosecond"
cockroachdb,admission.elastic_cpu.pre_work_nanos.count,count,"Total CPU nanoseconds spent doing pre-work, before doing elastic work
Shown as nanosecond"
cockroachdb,admission.elastic_cpu.returned_nanos.count,count,"Total CPU nanoseconds returned by elastic work
Shown as nanosecond"
cockroachdb,admission.elastic_cpu.utilization,gauge,"CPU utilization by elastic work
Shown as percent"
cockroachdb,admission.elastic_cpu.utilization_limit,gauge,"Utilization limit set for the elastic CPU work
Shown as percent"
cockroachdb,admission.errored.elastic_cpu.bulk_normal_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.elastic_cpu.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.elastic_cpu.normal_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.kv.bulk_normal_pri.count,count,Number of requests admitted
cockroachdb,admission.errored.kv.count,count,"[OpenMetrics v1] Number of KV requests not admitted due to error
Shown as request"
cockroachdb,admission.errored.kv.countt,count,"[OpenMetrics v2] Number of KV requests not admitted due to error
Shown as request"
cockroachdb,admission.errored.kv.high_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.kv.locking_normal_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.kv.normal_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.kv_stores.bulk_normal_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.kv_stores.count,count,"[OpenMetrics v1] Number of KV stores requests not admitted due to error
Shown as request"
cockroachdb,admission.errored.kv_stores.countt,count,"[OpenMetrics v2] Number of KV stores requests not admitted due to error
Shown as request"
cockroachdb,admission.errored.kv_stores.high_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.kv_stores.locking_normal_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.kv_stores.normal_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.kv_stores.ttl_low_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.sql.leaf.start,count,"[OpenMetrics v1] Number of SQL leaf start requests not admitted due to error
Shown as request"
cockroachdb,admission.errored.sql.leaf.start.count,count,"[OpenMetrics v2] Number of SQL leaf start requests not admitted due to error
Shown as request"
cockroachdb,admission.errored.sql.root.start,count,"[OpenMetrics v1] Number of SQL root start requests not admitted due to error
Shown as request"
cockroachdb,admission.errored.sql.root.start.count,count,"[OpenMetrics v2] Number of SQL root start requests not admitted due to error
Shown as request"
cockroachdb,admission.errored.sql_kv.response,count,"[OpenMetrics v1] Number of SQL KV requests not admitted due to error
Shown as request"
cockroachdb,admission.errored.sql_kv.response.count,count,"[OpenMetrics v2] Number of SQL KV requests not admitted due to error
Shown as request"
cockroachdb,admission.errored.sql_kv_response.locking_normal_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.sql_kv_response.normal_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.sql_leaf_start.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.sql_leaf_start.locking_normal_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.sql_leaf_start.normal_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.sql_root_start.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.sql_root_start.locking_normal_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.sql_root_start.normal_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.sql_sql.response,count,"[OpenMetrics v1] Number of Distributed SQL requests not admitted due to error
Shown as request"
cockroachdb,admission.errored.sql_sql.response.count,count,"[OpenMetrics v2] Number of Distributed SQL start requests not admitted due to error
Shown as request"
cockroachdb,admission.errored.sql_sql_response.locking_normal_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.errored.sql_sql_response.normal_pri.count,count,Number of requests not admitted due to error
cockroachdb,admission.granter.cpu_load_long_period_duration.kv.count,count,"Total duration when CPULoad was being called with a long period, in micros"
cockroachdb,admission.granter.cpu_load_short_period_duration.kv.count,count,"Total duration when CPULoad was being called with a short period, in micros"
cockroachdb,admission.granter.elastic_io_tokens_available.kv,gauge,Number of tokens available
cockroachdb,admission.granter.io.tokens.exhausted.duration.kv,count,"[OpenMetrics v1] Total duration when IO tokens were exhausted, in micros
Shown as microsecond"
cockroachdb,admission.granter.io.tokens.exhausted.duration.kv.count,count,"[OpenMetrics v2] Total duration when IO tokens were exhausted, in micros
Shown as microsecond"
cockroachdb,admission.granter.io_tokens_available.kv,gauge,Number of tokens available
cockroachdb,admission.granter.io_tokens_bypassed.kv.count,count,"Total number of tokens taken by work bypassing admission control (for example, follower writes without flow control)"
cockroachdb,admission.granter.io_tokens_exhausted_duration.kv.count,count,"Total duration when IO tokens were exhausted, in micros"
cockroachdb,admission.granter.io_tokens_returned.kv.count,count,Total number of tokens returned
cockroachdb,admission.granter.io_tokens_taken.kv.count,count,Total number of tokens taken
cockroachdb,admission.granter.slot_adjuster_decrements.kv.count,count,Number of decrements of the total KV slots
cockroachdb,admission.granter.slot_adjuster_increments.kv.count,count,Number of increments of the total KV slots
cockroachdb,admission.granter.slots_exhausted_duration.kv.count,count,"Total duration when KV slots were exhausted, in micros"
cockroachdb,admission.granter.total.slots.kv,gauge,[OpenMetrics v1 & v2] Total slots for KV work
cockroachdb,admission.granter.total_slots.kv,gauge,Total slots for kv work
cockroachdb,admission.granter.used.slots.kv,gauge,[OpenMetrics v1 & v2] Used slots for KV work
cockroachdb,admission.granter.used.slots.sql.leaf.start,gauge,[OpenMetrics v1 & v2] Used slots for SQL leaf start work
cockroachdb,admission.granter.used.slots.sql.root.start,gauge,[OpenMetrics v1 & v2] Used slots for SQL root start work
cockroachdb,admission.granter.used_slots.kv,gauge,Used slots
cockroachdb,admission.granter.used_slots.sql_leaf_start,gauge,Used slots
cockroachdb,admission.granter.used_slots.sql_root_start,gauge,Used slots
cockroachdb,admission.io.overload,gauge,1-normalized float indicating whether IO admission control considers the store as overloaded with respect to compaction out of L0 (considers sub-level and file counts).
cockroachdb,admission.l0_compacted_bytes.kv.count,count,Total bytes compacted out of L0 (used to generate IO tokens)
cockroachdb,admission.l0_tokens_produced.kv.count,count,Total number of generated token of L0
cockroachdb,admission.raft.paused_replicas,gauge,"Number of followers (i.e. Replicas) to which replication is currently paused to help them recover from I/O overload.Such Replicas will be ignored for the purposes of proposal quota, and will notreceive replication traffic. They are essentially treated as offline for thepurpose of replication. This serves as a crude form of admission control.The count is emitted by the leaseholder of each range."
cockroachdb,admission.raft.paused_replicas_dropped_msgs.count,count,Number of messages dropped instead of being sent to paused replicas.The messages are dropped to help these replicas to recover from I/O overload.
cockroachdb,admission.requested.elastic_cpu.bulk_normal_pri.count,count,Number of requests
cockroachdb,admission.requested.elastic_cpu.count,count,Number of requests
cockroachdb,admission.requested.elastic_cpu.normal_pri.count,count,Number of requests
cockroachdb,admission.requested.kv,count,"[OpenMetrics v1] Number of KV admission requests
Shown as request"
cockroachdb,admission.requested.kv.bulk_normal_pri.count,count,Number of requests admitted
cockroachdb,admission.requested.kv.count,count,"[OpenMetrics v2] Number of KV admission requests
Shown as request"
cockroachdb,admission.requested.kv.high_pri.count,count,Number of requests
cockroachdb,admission.requested.kv.locking_normal_pri.count,count,Number of requests
cockroachdb,admission.requested.kv.normal_pri.count,count,Number of requests
cockroachdb,admission.requested.kv_stores.bulk_normal_pri.count,count,Number of requests
cockroachdb,admission.requested.kv_stores.count,count,"[OpenMetrics v2] Number of KV stores admission requests
Shown as request"
cockroachdb,admission.requested.kv_stores.high_pri.count,count,Number of requests
cockroachdb,admission.requested.kv_stores.locking_normal_pri.count,count,Number of requests
cockroachdb,admission.requested.kv_stores.normal_pri.count,count,Number of requests
cockroachdb,admission.requested.kv_stores.ttl_low_pri.count,count,Number of requests
cockroachdb,admission.requested.sql.leaf.start,count,"[OpenMetrics v1] Number of SQL leaf start admission requests
Shown as request"
cockroachdb,admission.requested.sql.leaf.start.count,count,"[OpenMetrics v2] Number of SQL leaf start admission requests
Shown as request"
cockroachdb,admission.requested.sql_kv.response,count,"[OpenMetrics v1] Number of SQL KV admission requests
Shown as request"
cockroachdb,admission.requested.sql_kv.response.count,count,"[OpenMetrics v2] Number of SQL KV admission requests
Shown as request"
cockroachdb,admission.requested.sql_kv_response.locking_normal_pri.count,count,Number of requests
cockroachdb,admission.requested.sql_kv_response.normal_pri.count,count,Number of requests
cockroachdb,admission.requested.sql_leaf_start.locking_normal_pri.count,count,Number of requests
cockroachdb,admission.requested.sql_leaf_start.normal_pri.count,count,Number of requests
cockroachdb,admission.requested.sql_root_start.count,count,Number of requests
cockroachdb,admission.requested.sql_root_start.locking_normal_pri.count,count,Number of requests
cockroachdb,admission.requested.sql_root_start.normal_pri.count,count,Number of requests
cockroachdb,admission.requested.sql_sql.response,count,"[OpenMetrics v1] Number of Distributed SQL admission requests
Shown as request"
cockroachdb,admission.requested.sql_sql.response.count,count,"[OpenMetrics v2] Number of Distributed SQL admission requests
Shown as request"
cockroachdb,admission.requested.sql_sql_response.locking_normal_pri.count,count,Number of requests
cockroachdb,admission.requested.sql_sql_response.normal_pri.count,count,Number of requests
cockroachdb,admission.scheduler_latency_listener.p99_nanos,gauge,"The scheduling latency at p99 as observed by the scheduler latency listener
Shown as nanosecond"
cockroachdb,admission.wait.durations.kv,gauge,"[OpenMetrics v1] Wait time durations for KV requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.kv.bucket,count,"[OpenMetrics v2] Wait time durations for KV requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.kv.count,count,"[OpenMetrics v2] Wait time durations for KV requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.kv.sum,count,"[OpenMetrics v2] Wait time durations for KV requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.kv_stores,gauge,"[OpenMetrics v1] Wait time durations for KV stores requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.kv_stores.bucket,count,"[OpenMetrics v2] Wait time durations for KV stores requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.kv_stores.count,count,"[OpenMetrics v2] Wait time durations for KV stores requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.kv_stores.sum,count,"[OpenMetrics v2] Wait time durations for KV stores requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.sql.leaf.start,gauge,"[OpenMetrics v1] Wait time durations for SQL leaf start requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.sql.leaf.start.bucket,count,"[OpenMetrics v2] Wait time durations for SQL leaf start requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.sql.leaf.start.count,count,"[OpenMetrics v2] Wait time durations for SQL leaf start requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.sql.leaf.start.sum,count,"[OpenMetrics v2] Wait time durations for SQL leaf start requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.sql_kv.response,gauge,"[OpenMetrics v1] Wait time durations for SQL KV response requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.sql_kv.response.bucket,count,"[OpenMetrics v2] Wait time durations for SQL KV response requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.sql_kv.response.count,count,"[OpenMetrics v2] Wait time durations for SQL KV response requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.sql_kv.response.sum,count,"[OpenMetrics v2] Wait time durations for SQL KV response requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.sql_sql.response,gauge,"[OpenMetrics v1] Wait time durations for Distributed SQL requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.sql_sql.response.bucket,count,"[OpenMetrics v2] Wait time durations for Distributed SQL requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.sql_sql.response.count,count,"[OpenMetrics v2] Wait time durations for Distributed SQL requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.durations.sql_sql.response.sum,count,"[OpenMetrics v2] Wait time durations for Distributed SQL requests that waited
Shown as nanosecond"
cockroachdb,admission.wait.queue.length.kv,gauge,[OpenMetrics v1 & v2] Length of KV wait queue
cockroachdb,admission.wait.queue.length.kv_stores,gauge,[OpenMetrics v1 & v2] Length of KV stores wait queue
cockroachdb,admission.wait.queue.length.sql.leaf.start,gauge,[OpenMetrics v1 & v2] Length of SQL leaf start wait queue
cockroachdb,admission.wait.queue.length.sql_kv.response,gauge,[OpenMetrics v1 & v2] Length of SQL KV wait queue
cockroachdb,admission.wait.queue.length.sql_sql.response,gauge,[OpenMetrics v1 & v2] Length of Distributed SQL wait queue
cockroachdb,admission.wait.queue.lengths.sql.root.start,gauge,[OpenMetrics v1 & v2] Length of SQL root start wait queue
cockroachdb,admission.wait.sum.kv,count,"[OpenMetrics v1] Total KV wait time in micros
Shown as microsecond"
cockroachdb,admission.wait.sum.kv.count,count,"[OpenMetrics v2] Total KV wait time in micros
Shown as microsecond"
cockroachdb,admission.wait.sum.kv_stores,count,"[OpenMetrics v1] Total KV stores wait time in micros
Shown as microsecond"
cockroachdb,admission.wait.sum.kv_stores.count,count,"[OpenMetrics v2] Total KV stores wait time in micros
Shown as microsecond"
cockroachdb,admission.wait.sum.sql.root.start,count,"[OpenMetrics v1] Total SQL root start wait time in micros
Shown as microsecond"
cockroachdb,admission.wait.sum.sql.root.start.count,count,"[OpenMetrics v2] Total SQL root start wait time in micros
Shown as microsecond"
cockroachdb,admission.wait.sum.sql_kv.response,count,"[OpenMetrics v1] Total SQL KV wait time in micros
Shown as microsecond"
cockroachdb,admission.wait.sum.sql_kv.response.count,count,"[OpenMetrics v2] Total SQL KV wait time in micros
Shown as microsecond"
cockroachdb,admission.wait.sum.sql_sql.response,count,"[OpenMetrics v1] Total Distributed SQL wait time in micros
Shown as microsecond"
cockroachdb,admission.wait.sum.sql_sql.response.count,count,"[OpenMetrics v2] Total Distributed SQL wait time in micros
Shown as microsecond"
cockroachdb,admission.wait_durations.elastic_cpu.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.elastic_cpu.bulk_normal_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.elastic_cpu.bulk_normal_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.elastic_cpu.bulk_normal_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.elastic_cpu.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.elastic_cpu.normal_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.elastic_cpu.normal_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.elastic_cpu.normal_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.elastic_cpu.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv.bulk_normal_pri,count,Number of requests admitted
cockroachdb,admission.wait_durations.kv.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv.high_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv.high_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv.high_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv.locking_normal_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv.locking_normal_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv.locking_normal_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv.normal_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv.normal_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv.normal_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.bulk_normal_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.bulk_normal_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.bulk_normal_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.high_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.high_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.high_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.locking_normal_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.locking_normal_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.locking_normal_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.normal_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.normal_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.normal_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.ttl_low_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.ttl_low_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.kv_stores.ttl_low_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_kv_response.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_kv_response.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_kv_response.locking_normal_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_kv_response.locking_normal_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_kv_response.locking_normal_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_kv_response.normal_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_kv_response.normal_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_kv_response.normal_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_kv_response.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_leaf_start.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_leaf_start.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_leaf_start.locking_normal_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_leaf_start.locking_normal_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_leaf_start.locking_normal_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_leaf_start.normal_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_leaf_start.normal_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_leaf_start.normal_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_leaf_start.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_root_start.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_root_start.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_root_start.locking_normal_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_root_start.locking_normal_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_root_start.locking_normal_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_root_start.normal_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_root_start.normal_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_root_start.normal_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_root_start.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_sql_response.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_sql_response.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_sql_response.locking_normal_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_sql_response.locking_normal_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_sql_response.locking_normal_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_sql_response.normal_pri.bucket,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_sql_response.normal_pri.count,count,"Wait time durations for requests that waited
Shown as nanosecond"
cockroachdb,admission.wait_durations.sql_sql_response.normal_pri.sum,count,"Wait time durations for requests that waited
Shown as nanosecond"
